"Settings","Настройки"
"<strong>Note:</strong> Don't forget to set-up in the <a href=https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a> a Control URL to "http://www.yourdomain.com/ferbuy/payment/control/".","<strong>Note:</strong> Не забравяйте да зададете в <a href="https://my.ferbuy.com/merchant" target="_blank">Бекофис на търговец</a>Контролен URL за "http://www.yourdomain.com/ferbuy/payment/control/"."
"Test/Live Mode","Режим Тест/На живо"
"Switching between test and live mode. If you don't have an account <a href='http://www.ferbuy.com/' target='_blank'>Sign Up</a>.","Превключване между режим тест и на живо. Ако нямате акаунт <a href='http://www.ferbuy.com/' target='_blank'>Регистрирайте се</a>."
"Site ID","ID на сайта"
"Fill in you Site ID number. You can find your Site ID number at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>.","Попълнете ID номера на Вашия сайт. Можете да намерите ID номера на Вашия сайт на <a href="https://my.ferbuy.com/merchant" target="_blank">Бекофис на търговец</a>."
"Secret","Тайна ключ"
"Fill in you secret key for the site. You can create your secret key code at <a href="https://my.ferbuy.com/merchant" target="_blank">Merchant Backoffice</a>.","Попълнете тайния ключ за Вашата контролна сума за сайта. Можете да създадете Вашия тайния ключ на <a href="https://my.ferbuy.com/merchant" target="_blank">Бекофис на търговец</a>.""
"Create invoice after payment","Създаване на фактура след плащане"
"Automatically create invoices after payment.","Автоматично създаване на фактури след плащане."
"Mail invoice to customer","Изпращане на фактура на клиент"
"Automatically mail invoices to a customer.","Автоматично изпращане на фактури на клиент."
"Notify on failed invoice creation","Уведомление за неуспешно създаване на фактура"
"Notifications recipient","Получател на уведомления"
"Transaction in progress status","Статус транзакцията в процес на изпълнение"
"Transaction complete status","Статус транзакцията е завършена"
"Transaction failed status","Статус транзакцията е неуспешна"
"Debug","Отстраняване на грешки"
"Will log details for debugging purposes in /var/log/ferbuy.log file.","Ще запише данни за целите на отстраняване на грешки във файл /var/log/ferbuy.log."
"FerBuy (Buy Now, Pay Later)","FerBuy (Купи сега, плати по-късно)"
"Enabled","Разрешено"
"Title","Наименование"
"Minimum Order Total","Общо минимална поръчка"
"Checkout option will not be available with an order that does not meet the minimum.","Опцията за плащане няма да бъде налична, ако поръчката не отговаря на минимума."
"Maximum Order Total","Общо максимална поръчка"
"Checkout option will not be available with an order that does exceeds the maximum.","Опцията за плащане няма да бъде налична, ако поръчката надвишава максимума."
"Payment from applicable countries","Плащане от приложими държави"
"Payment from Specific countries","Плащане от определени държави"
"Sort order","Ред на сортиране"
"Invoice # %s created and send to customer.","Фактура # %s създадена и изпратена на клиента."
"Invoice # %s created.","Фактура # %s създадена."
"Automatic invoice creation failed","Автоматичното създаване на фактура е неуспешно"
"Magento was unable to create an invoice for Order # %s after a successful payment via FerBuy (transaction # %s)","Magento не може да създаде фактура за Поръчка # %s след успешно плащане чрез FerBuy (транзакция # %s)"
"Magento was unable to create an invoice for <b>Order # %s</b> after a successful payment via FerBuy <b>(transaction # %s)</b>","Magento не може да създаде фактура за <b>Поръчка # %s</b> след успешно плащане чрез FerBuy <b>(транзакция # %s)</b>"
"Hacker attempt: Order total amount does not match FerBuy's gross total amount!","Опит за хакване: Общата сума на поръчката не отговаря на брутната обща сума на FerBuy!"
"Transaction complete.","Транзакцията е успешна."
"Transaction failed.","Транзакцията е неуспешна."
"Transaction timed out.","Транзакцията е изтекла."
"Transaction canceled by user.","Транзакцията е отказана от потребител."
"Transaction started, waiting for payment.","Транзакцията е започната, изчакване за плащане."
"You will be redirected to FerBuy to finish your transaction.","Пренасочваме ви към FerBuy, за да завършите транзакцията си."
"You will be redirected to the FerBuy website when you place an order.","С FerBuy може да платите покупката си след 14 дни с 0лв оскъпяване. Ще бъдете пренасочени към FerBuy."
